1892"|7-28-2025_10-40AM","1","1882","1882.00"
"|7-28-2025_12-30PM","1882","1882","1.00"
"|7-29-2025_12-30PM","1882","0","0.00"
"|7-29-2025_12-40PM","1882","1882","1.00"
"|7-30-2025_12-30PM","1882","1882","1.00"
"|7-31-2025_12-30PM","1882","1884","1.00"
"|8-1-2025_12-30PM","1884","1884","1.00"
"|8-2-2025_12-30PM","1884","1883","1.00"
"|8-3-2025_12-30PM","1883","1883","1.00"
"|8-4-2025_12-30PM","1883","1883","1.00"
"|8-5-2025_12-30PM","1883","1883","1.00"
"|8-6-2025_12-30PM","1883","1881","1.00"
"|8-12-2025_10-15AM","1881","1875","1.00"
"|8-12-2025_12-30PM","1875","1875","1.00"
"|8-13-2025_12-30PM","1875","1874","1.00"
"|8-14-2025_12-30PM","1874","0","0.00"
"|8-15-2025_10-55AM","1874","1869","1.00"
"|8-15-2025_12-29PM","1869","1869","1.00"
"|8-16-2025_12-30PM","1869","1868","1.00"
"|8-18-2025_10-25AM","1868","1867","1.00"
"|8-18-2025_12-29PM","1867","1867","1.00"
"|8-19-2025_12-30PM","1867","1861","1.00"
"|8-20-2025_12-30PM","1861","1861","1.00"
"|8-21-2025_12-30PM","1861","84","0.05"
"|8-22-2025_12-30PM","1861","1861","1.00"
"|8-23-2025_12-30PM","1861","1861","1.00"
"|8-24-2025_12-30PM","1861","1861","1.00"
"|8-25-2025_2-00PM","1861","1855","1.00"
"|8-26-2025_12-30PM","1855","1853","1.00"
"|8-27-2025_12-30PM","1853","0","0.00"
"|8-28-2025_12-30PM","1853","1852","1.00"
"|8-29-2025_12-30PM","1852","1852","1.00"
"|8-30-2025_12-30PM","1852","0","0.00"
"|9-1-2025_12-30PM","1852","1849","1.00"
"|9-2-2025_10-17AM","1849","1849","1.00"
"|9-2-2025_12-30PM","1849","1849","1.00"
"|9-3-2025_12-30PM","1849","1848","1.00"
"|9-4-2025_12-30PM","1848","0","0.00"
